UID          PID    PPID  C STIME TTY          TIME CMD
skaur       4419    4300  0 13:40 ?        00:00:00 /usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 19911 -prefMapSize 223216 -jsInitLen 247228 -parentBuildID 20220818191623 -appDir /usr/lib/firefox/browser 4300 true tab
skaur       4437    4300  0 13:40 ?        00:00:01 /usr/lib/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 20095 -prefMapSize 223216 -jsInitLen 247228 -parentBuildID 20220818191623 -appDir /usr/lib/firefox/browser 4300 true tab
skaur       4526    4300  1 13:40 ?        00:00:12 /usr/lib/firefox/firefox -contentproc -childID 4 -isForBrowser -prefsLen 29474 -prefMapSize 223216 -jsInitLen 247228 -parentBuildID 20220818191623 -appDir /usr/lib/firefox/browser 4300 true tab
skaur       4551    4300  0 13:40 ?        00:00:00 /usr/lib/firefox/firefox -contentproc -childID 6 -isForBrowser -prefsLen 29587 -prefMapSize 223216 -jsInitLen 247228 -parentBuildID 20220818191623 -appDir /usr/lib/firefox/browser 4300 true tab
skaur       4582    4300  0 13:41 ?        00:00:00 /usr/lib/firefox/firefox -contentproc -childID 7 -isForBrowser -prefsLen 29921 -prefMapSize 223216 -jsInitLen 247228 -parentBuildID 20220818191623 -appDir /usr/lib/firefox/browser 4300 true tab
skaur       4622    4300  0 13:41 ?        00:00:08 /usr/lib/firefox/firefox -contentproc -childID 8 -isForBrowser -prefsLen 30126 -prefMapSize 223216 -jsInitLen 247228 -parentBuildID 20220818191623 -appDir /usr/lib/firefox/browser 4300 true tab
root        4699       2  0 13:42 ?        00:00:00 [kworker/0:0-inet_frag_wq]
skaur       4723    4300  0 13:43 ?        00:00:00 /usr/lib/firefox/firefox -contentproc -childID 9 -isForBrowser -prefsLen 33373 -prefMapSize 223216 -jsInitLen 247228 -parentBuildID 20220818191623 -appDir /usr/lib/firefox/browser 4300 true tab
skaur       4747    4300  0 13:43 ?        00:00:00 /usr/lib/firefox/firefox -contentproc -childID 10 -isForBrowser -prefsLen 33373 -prefMapSize 223216 -jsInitLen 247228 -parentBuildID 20220818191623 -appDir /usr/lib/firefox/browser 4300 true tab
skaur       4817    4300  0 13:43 ?        00:00:00 /usr/lib/firefox/firefox -contentproc -parentBuildID 20220818191623 -prefsLen 33584 -prefMapSize 223216 -appDir /usr/lib/firefox/browser 4300 true rdd
skaur       4829    4300  0 13:43 ?        00:00:00 /usr/lib/firefox/firefox -contentproc -childID 11 -isForBrowser -prefsLen 33584 -prefMapSize 223216 -jsInitLen 247228 -parentBuildID 20220818191623 -appDir /usr/lib/firefox/browser 4300 true tab
skaur       4914     929  0 13:43 ?        00:00:00 /usr/libexec/tracker-store
skaur       4928    4300  0 13:43 ?        00:00:00 /usr/lib/firefox/firefox -contentproc -parentBuildID 20220818191623 -sandboxingKind 1 -prefsLen 33584 -prefMapSize 223216 -appDir /usr/lib/firefox/browser 4300 true utility
root        5251       2  0 13:51 ?        00:00:00 [kworker/u2:2-events_unbound]
skaur       5929    1675  0 13:55 pts/0    00:00:00 ps -ef
